#Organism Name,Strain,Assembly,Level,Size(Mb),GC%,Replicons,GenBank FTP,RefSeq FTP
"Haemophilus influenzae PittGG","PittGG","GCA_000016485.1","Complete",1.88719,38,"chromosome:NC_009567.1/CP000672.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/485/GCA_000016485.1_ASM1648v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/485/GCF_000016485.1_ASM1648v1"
"Yersinia pestis 1522","1522","GCA_001188715.1","Complete",4.73864,47.6865,"chromosome:NZ_CP006758.1/CP006758.1; plasmid pCD:NZ_CP006757.1/CP006757.1; plasmid pMT:NZ_CP006756.1/CP006756.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/715/GCA_001188715.1_ASM118871v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/188/715/GCF_001188715.1_ASM118871v1"
"Salmonella enterica subsp. enterica serovar Typhimurium","TW-Stm6","GCA_002210025.1","Complete",5.27975,51.9162,"chromosome:NZ_CP019649.1/CP019649.1; plasmid p275_TW-Stm6:NZ_CP019647.1/CP019647.1; plasmid p4_TW-Stm6:NZ_CP019648.1/CP019648.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/210/025/GCA_002210025.1_ASM221002v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/210/025/GCF_002210025.1_ASM221002v1"
"Yersinia pestis Pestoides G","Pestoides G","GCA_000834985.1","Complete",4.73814,47.6893,"chromosome:NZ_CP010247.1/CP010247.1; plasmid pCD:NZ_CP010246.1/CP010246.1; plasmid pMT:NZ_CP010248.1/CP010248.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/985/GCA_000834985.1_ASM83498v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/985/GCF_000834985.1_ASM83498v1"
"Salmonella enterica subsp. enterica","ID135534","GCA_004919465.1","Complete",5.00584,52.201,"chromosome:NZ_CP039607.1/CP039607.1; plasmid p14-7355.1:NZ_CP039608.1/CP039608.1; plasmid p14-7355.2:NZ_CP039609.1/CP039609.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/919/465/GCA_004919465.1_ASM491946v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/919/465/GCF_004919465.1_ASM491946v1"
"Haemophilus influenzae","5P28H1","GCA_002966615.1","Complete",1.88645,38.2,"chromosome:NZ_CP020008.1/CP020008.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/966/615/GCA_002966615.1_ASM296661v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/966/615/GCF_002966615.1_ASM296661v1"
"Escherichia coli O157:H7","pv15-279","GCA_003966795.1","Complete",5.69255,50.5585,"chromosome:NZ_AP018488.1/AP018488.1; plasmid pO157pv15279:NZ_AP018489.1/AP018489.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/966/795/GCA_003966795.1_ASM396679v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/966/795/GCF_003966795.1_ASM396679v1"
"Pseudomonas putida BIRD-1","BIRD-1","GCA_000183645.1","Complete",5.73154,61.7,"chromosome:NC_017530.1/CP002290.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/645/GCA_000183645.1_ASM18364v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/645/GCF_000183645.1_ASM18364v1"
"Shigella flexneri","04-3145","GCA_002949255.1","Complete",4.64024,50.9486,"chromosome:NZ_CP026765.1/CP026765.1; plasmid unnamed:NZ_CP026764.1/CP026764.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/949/255/GCA_002949255.1_ASM294925v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/949/255/GCF_002949255.1_ASM294925v1"
"Pseudomonas aeruginosa","268","GCA_003641125.1","Complete",7.03047,65.9,"chromosome:NZ_CP032761.1/CP032761.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/641/125/GCA_003641125.1_ASM364112v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/641/125/GCF_003641125.1_ASM364112v1"
"Acinetobacter baumannii","A85","GCA_002210065.1","Complete",4.14461,39.1765,"chromosome:NZ_CP021782.1/CP021782.1; plasmid pA85-1:NZ_CP021783.1/CP021783.1; plasmid pA85-1a:NZ_CP021784.1/CP021784.1; plasmid pA85-1b:NZ_CP021785.1/CP021785.1; plasmid pA85-2:NZ_CP021786.1/CP021786.1; plasmid pA85-3:NZ_CP021787.1/CP021787.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/210/065/GCA_002210065.1_ASM221006v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/210/065/GCF_002210065.1_ASM221006v1"
"Legionella pneumophila subsp. fraseri","D-5387","GCA_003003675.1","Complete",3.47196,38.3,"chromosome:NZ_CP021264.1/CP021264.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/003/675/GCA_003003675.1_ASM300367v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/003/675/GCF_003003675.1_ASM300367v1"
"Vibrio cholerae 2740-80","2740-80","GCA_001683415.1","Complete",4.08896,47.5305,"chromosome 1:NZ_CP016324.1/CP016324.1; chromosome 2:NZ_CP016325.1/CP016325.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/415/GCA_001683415.1_ASM168341v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/683/415/GCF_001683415.1_ASM168341v1"
"Francisella tularensis subsp. holarctica PHIT-FT049","PHIT-FT049","GCA_000524575.1","Complete",1.88119,32.2,"chromosome:NZ_CP007148.1/CP007148.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/524/575/GCA_000524575.1_ASM52457v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/524/575/GCF_000524575.1_ASM52457v1"
"Vibrio parahaemolyticus","FORC_008","GCA_001244315.1","Complete",5.03817,45.4352,"chromosome 1:NZ_CP009982.1/CP009982.1; chromosome 2:NZ_CP009983.1/CP009983.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/244/315/GCA_001244315.1_ASM124431v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/244/315/GCF_001244315.1_ASM124431v1"
"Klebsiella pneumoniae","Kp_Goe_33208","GCA_001902435.1","Complete",5.65566,56.9603,"chromosome:NZ_CP018447.1/CP018447.1; plasmid pKp_Goe_208-1:NZ_CP018448.1/CP018448.1; plasmid pKp_Goe_208-2:NZ_CP018449.1/CP018449.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/902/435/GCA_001902435.1_ASM190243v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/902/435/GCF_001902435.1_ASM190243v1"
"Stenotrophomonas maltophilia","PEG-390","GCA_009676505.1","Complete",4.55402,66.4,"chromosome:CP040436.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/676/505/GCA_009676505.1_ASM967650v1",
"Pasteurella multocida","USDA-ARS-USMARC-60380","GCA_002859345.1","Complete",2.33485,40.4,"chromosome:NZ_CP015563.1/CP015563.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/859/345/GCA_002859345.1_ASM285934v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/859/345/GCF_002859345.1_ASM285934v1"
"Mannheimia haemolytica","1318","GCA_007965585.1","Complete",2.69122,41,"chromosome:NZ_CP017549.1/CP017549.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/965/585/GCA_007965585.1_ASM796558v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/965/585/GCF_007965585.1_ASM796558v1"
"Serratia marcescens","AR_0124","GCA_003071565.1","Complete",5.18028,59.9,"chromosome:NZ_CP028946.1/CP028946.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/071/565/GCA_003071565.1_ASM307156v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/071/565/GCF_003071565.1_ASM307156v1"
"Citrobacter freundii","AR_0022","GCA_002796505.1","Complete",5.03519,51.7218,"chromosome:NZ_CP024881.1/CP024881.1; plasmid unitig_1_pilon:NZ_CP024882.1/CP024882.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/796/505/GCA_002796505.1_ASM279650v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/796/505/GCF_002796505.1_ASM279650v1"
"Enterobacter hormaechei","FDAARGOS_642","GCA_008693905.1","Complete",4.69811,55.6,"chromosome:NZ_CP044107.1/CP044107.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/693/905/GCA_008693905.1_ASM869390v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/905/GCF_008693905.1_ASM869390v1"
"Enterobacter hormaechei subsp. steigerwaltii","34998","GCA_000807425.4","Complete",5.30352,55.4399,"chromosome:NZ_CP012167.1/CP012167.1; plasmid p34998-106.409kb:NZ_CP010383.2/CP010383.2; plasmid p34998-210.894kb:NZ_CP012169.1/CP012169.1; plasmid p34998-239.973kb:NZ_CP012168.1/CP012168.1; plasmid p34998-4.921kb:NZ_CP010381.1/CP010381.1; plasmid p34998-53.129kb:NZ_CP010382.1/CP010382.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/807/425/GCA_000807425.4_ASM80742v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/425/GCF_000807425.2_ASM80742v4"
"Citrobacter freundii","UMH13","GCA_003665635.1","Complete",4.91735,51.9,"chromosome:NZ_CP024683.1/CP024683.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/665/635/GCA_003665635.1_ASM366563v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/665/635/GCF_003665635.1_ASM366563v1"
"Serratia marcescens","UMH8","GCA_002220535.1","Complete",5.15514,59.6,"chromosome:NZ_CP018927.1/CP018927.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/220/535/GCA_002220535.1_ASM222053v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/535/GCF_002220535.1_ASM222053v1"
"Mannheimia haemolytica","22549","GCA_007978505.1","Complete",2.68976,41.1,"chromosome:NZ_CP017519.1/CP017519.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/978/505/GCA_007978505.1_ASM797850v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/978/505/GCF_007978505.1_ASM797850v1"
"Pasteurella multocida","USDA-ARS-USMARC-60712","GCA_002859405.1","Complete",2.33452,40.4,"chromosome:NZ_CP015566.1/CP015566.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/859/405/GCA_002859405.1_ASM285940v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/859/405/GCF_002859405.1_ASM285940v1"
"Stenotrophomonas maltophilia JV3","JV3","GCA_000223885.1","Complete",4.54448,66.9,"chromosome:NC_015947.1/CP002986.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/885/GCA_000223885.1_ASM22388v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/885/GCF_000223885.1_ASM22388v1"
"Vibrio parahaemolyticus","FDAARGOS_667","GCA_008693625.1","Complete",5.00315,45.4348,"chromosome 1:NZ_CP044062.1/CP044062.1; chromosome 2:NZ_CP044063.1/CP044063.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/693/625/GCA_008693625.1_ASM869362v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/625/GCF_008693625.1_ASM869362v1"
"Klebsiella pneumoniae","Kp_Goe_71070","GCA_001902515.1","Complete",5.65894,56.9579,"chromosome:NZ_CP018450.1/CP018450.1; plasmid pKp_Goe_070-1:NZ_CP018451.1/CP018451.1; plasmid pKp_Goe_070-2:NZ_CP018452.1/CP018452.1; plasmid pKp_Goe_070-3:NZ_CP018453.1/CP018453.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/902/515/GCA_001902515.1_ASM190251v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/902/515/GCF_001902515.1_ASM190251v1"
"Francisella tularensis subsp. tularensis str. SCHU S4 substr. NR-28534","SCHU S4 substr. NR-28534","GCA_000978785.2","Complete",1.88843,32.2983,"chromosome:NZ_CP010446.2/CP010446.2; plasmid unnamed:NZ_CP010447.1/CP010447.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/785/GCA_000978785.2_ASM97878v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/978/785/GCF_000978785.2_ASM97878v2"
"Vibrio cholerae","NCTC5395","GCA_001887515.1","Complete",4.17025,47.5149,"chromosome 1:NZ_CP013317.1/CP013317.1; chromosome 2:NZ_CP013318.1/CP013318.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/887/515/GCA_001887515.1_ASM188751v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/887/515/GCF_001887515.1_ASM188751v1"
"Legionella pneumophila subsp. pneumophila","Lorraine","GCA_000306865.1","Complete",3.61769,38.3875,"chromosome:NC_018139.1/FQ958210.1; plasmid pLELO:NC_018141.1/FQ958212.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/865/GCA_000306865.1_ASM30686v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/865/GCF_000306865.1_ASM30686v1"
"Acinetobacter baumannii","VB35575","GCA_005280715.1","Complete",4.04261,39.0881,"chromosome:NZ_CP040087.1/CP040087.1; plasmid unnamed1:NZ_CP040088.1/CP040088.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/280/715/GCA_005280715.1_ASM528071v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/280/715/GCF_005280715.1_ASM528071v1"
"Pseudomonas aeruginosa","FDAARGOS_505","GCA_003813005.1","Complete",7.02982,65.9,"chromosome:NZ_CP033832.1/CP033832.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/813/005/GCA_003813005.1_ASM381300v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/813/005/GCF_003813005.1_ASM381300v1"
"Shigella flexneri","AR-0425","GCA_008727235.1","Complete",4.78782,50.6188,"chromosome:NZ_CP044152.1/CP044152.1; plasmid pAR-0425-1:NZ_CP044153.1/CP044153.1; plasmid pAR-0425-2:NZ_CP044154.1/CP044154.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/727/235/GCA_008727235.1_ASM872723v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/727/235/GCF_008727235.1_ASM872723v1"
"Pseudomonas putida","1A00316","GCA_001515585.2","Complete",5.71582,64.4,"chromosome:NZ_CP014343.1/CP014343.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/585/GCA_001515585.2_ASM151558v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/515/585/GCF_001515585.1_ASM151558v2"
"Escherichia coli","2014C-3051","GCA_003017915.1","Complete",5.69012,50.6479,"chromosome:NZ_CP027338.1/CP027338.1; plasmid unnamed:NZ_CP027339.1/CP027339.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/017/915/GCA_003017915.1_ASM301791v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/017/915/GCF_003017915.1_ASM301791v1"
"Haemophilus influenzae","5P54H1","GCA_002966635.1","Complete",1.88641,38.2,"chromosome:NZ_CP020009.1/CP020009.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/966/635/GCA_002966635.1_ASM296663v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/966/635/GCF_002966635.1_ASM296663v1"
"Salmonella enterica subsp. enterica","CFSA629","GCA_004124175.2","Complete",5.20994,51.821,"chromosome:NZ_CP033352.2/CP033352.2; plasmid pCFSA629:NZ_CP033351.2/CP033351.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/124/175/GCA_004124175.2_ASM412417v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/124/175/GCF_004124175.2_ASM412417v2"
"Yersinia pestis 1413","1413","GCA_001188935.1","Complete",4.73692,47.6865,"chromosome:NZ_CP006762.1/CP006762.1; plasmid pCD:NZ_CP006761.1/CP006761.1; plasmid pMT:NZ_CP006760.1/CP006760.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/935/GCA_001188935.1_ASM118893v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/188/935/GCF_001188935.1_ASM118893v1"
"Yersinia pestis 3067","3067","GCA_001188795.1","Complete",4.73609,47.6872,"chromosome:NZ_CP006754.1/CP006754.1; plasmid pCD1:NZ_CP006753.1/CP006753.1; plasmid pMT1:NZ_CP006752.1/CP006752.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/795/GCA_001188795.1_ASM118879v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/188/795/GCF_001188795.1_ASM118879v1"
"Salmonella enterica subsp. enterica","16C0703578","GCA_005160405.1","Complete",5.34649,51.8521,"chromosome:NZ_CP039860.1/CP039860.1; plasmid p16-6773.1:NZ_CP039861.1/CP039861.1; plasmid p16-6773.2:NZ_CP039862.1/CP039862.1; plasmid p16-6773.3:NZ_CP039863.1/CP039863.1; plasmid p16-6773.4:NZ_CP039864.1/CP039864.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/160/405/GCA_005160405.1_ASM516040v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/160/405/GCF_005160405.1_ASM516040v1"
"Haemophilus influenzae","NCTC12699","GCA_900635805.1","Complete",1.87994,38,"chromosome 1:NZ_LR134171.1/LR134171.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/805/GCA_900635805.1_34211_C02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/635/805/GCF_900635805.1_34211_C02"
"Escherichia coli","CFSAN027346","GCA_004358365.1","Complete",5.76175,50.6576,"chromosome:NZ_CP037945.1/CP037945.1; plasmid pCFSAN027346-1:NZ_CP037946.1/CP037946.1; plasmid pCFSAN027346-2:NZ_CP037947.1/CP037947.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/358/365/GCA_004358365.1_ASM435836v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/365/GCF_004358365.1_ASM435836v1"
"Pseudomonas putida","JYR-1","GCA_008605605.1","Complete",5.4135,62.5,"chromosome:NZ_CP043835.1/CP043835.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/605/605/GCA_008605605.1_ASM860560v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/605/605/GCF_008605605.1_ASM860560v1"
"Shigella flexneri 7b","94-3007","GCA_002741635.1","Complete",4.90637,50.7168,"chromosome:NZ_CP024473.1/CP024473.1; plasmid unnamed1:NZ_CP024474.1/CP024474.1; plasmid unnamed2:NZ_CP024475.1/CP024475.1; plasmid unnamed3:NZ_CP024476.1/CP024476.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/741/635/GCA_002741635.1_ASM274163v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/741/635/GCF_002741635.1_ASM274163v1"
"Pseudomonas aeruginosa","BAMCPA07-48","GCA_001632245.1","Complete",7.02155,66,"chromosome:NZ_CP015377.1/CP015377.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/245/GCA_001632245.1_ASM163224v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/632/245/GCF_001632245.1_ASM163224v1"
"Acinetobacter baumannii","10042","GCA_003522785.1","Complete",4.15188,38.9565,"chromosome:NZ_CP023026.1/CP023026.1; plasmid pAba10042a:NZ_CP023027.1/CP023027.1; plasmid pAba10042b:NZ_CP023028.1/CP023028.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/522/785/GCA_003522785.1_ASM352278v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/522/785/GCF_003522785.1_ASM352278v1"
"Legionella pneumophila","E3_N","GCA_001753285.1","Complete",3.46535,38.3,"chromosome:NZ_CP015949.1/CP015949.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/753/285/GCA_001753285.1_ASM175328v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/285/GCF_001753285.1_ASM175328v1"
"Vibrio cholerae","Vibrio cholerae str. BC1071","GCA_900185995.1","Complete",4.19458,47.5097,"chromosome I:NZ_LT897797.1/LT897797.1; chromosome II:NZ_LT897798.1/LT897798.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/185/995/GCA_900185995.1_BK1071","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/185/995/GCF_900185995.1_BK1071"
"Francisella tularensis subsp. novicida D9876","D9876","GCA_000833355.1","Complete",1.87021,32.5,"chromosome:NZ_CP009607.1/CP009607.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/833/355/GCA_000833355.1_ASM83335v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/833/355/GCF_000833355.1_ASM83335v1"
"Vibrio parahaemolyticus","FORC_023","GCA_001758605.1","Complete",5.01521,45.4351,"chromosome 1:NZ_CP012950.1/CP012950.1; chromosome 2:NZ_CP012951.1/CP012951.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/758/605/GCA_001758605.1_ASM175860v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/758/605/GCF_001758605.1_ASM175860v1"
"Klebsiella pneumoniae subsp. pneumoniae","SCKP020143","GCA_002853435.2","Complete",5.85235,57.2428,"chromosome:NZ_CP028548.1/CP028548.1; plasmid p1_020143:NZ_CP028543.1/CP028543.1; plasmid p2_020143:NZ_CP028544.1/CP028544.1; plasmid p3_020143:NZ_CP028545.1/CP028545.1; plasmid p4_020143:NZ_CP028546.1/CP028546.1; plasmid pKPC2_020143:NZ_CP028547.1/CP028547.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/853/435/GCA_002853435.2_ASM285343v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/853/435/GCF_002853435.2_ASM285343v2"
"Stenotrophomonas maltophilia","U5","GCA_009676385.1","Complete",4.54164,66.4,"chromosome:CP040429.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/676/385/GCA_009676385.1_ASM967638v1",
"Pasteurella multocida","USDA-ARS-USMARC-60713","GCA_002859365.1","Complete",2.33447,40.4,"chromosome:NZ_CP015564.1/CP015564.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/859/365/GCA_002859365.1_ASM285936v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/859/365/GCF_002859365.1_ASM285936v1"
"Mannheimia haemolytica","1498","GCA_007980965.1","Complete",2.68382,41,"chromosome:NZ_CP017535.1/CP017535.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/980/965/GCA_007980965.1_ASM798096v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/980/965/GCF_007980965.1_ASM798096v1"
"Serratia marcescens","SGAir0764","GCA_003182655.1","Complete",5.2192,59.4194,"chromosome:NZ_CP027300.1/CP027300.1; plasmid unnamed_1:NZ_CP027301.1/CP027301.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/182/655/GCA_003182655.1_ASM318265v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/182/655/GCF_003182655.1_ASM318265v1"
"Citrobacter freundii","HM38","GCA_003665655.1","Complete",4.89901,51.7,"chromosome:NZ_CP024672.1/CP024672.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/665/655/GCA_003665655.1_ASM366565v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/665/655/GCF_003665655.1_ASM366565v1"
"Enterobacter hormaechei","234","GCA_003186415.1","Complete",4.72485,55.4666,"chromosome:NZ_CP021162.1/CP021162.1; plasmid p234:NZ_CP021163.1/CP021163.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/186/415/GCA_003186415.1_ASM318641v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/186/415/GCF_003186415.1_ASM318641v1"
"Enterobacter hormaechei","388","GCA_003186565.1","Complete",4.73529,55.4683,"chromosome:NZ_CP021167.1/CP021167.1; plasmid p388:NZ_CP021168.1/CP021168.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/186/565/GCA_003186565.1_ASM318656v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/186/565/GCF_003186565.1_ASM318656v1"
"Citrobacter freundii","UMH14","GCA_003665615.1","Complete",5.06497,51.7376,"chromosome:NZ_CP024680.1/CP024680.1; plasmid pUMH14_1:NZ_CP024681.1/CP024681.1; plasmid pUMH14_2:NZ_CP024682.1/CP024682.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/665/615/GCA_003665615.1_ASM366561v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/665/615/GCF_003665615.1_ASM366561v1"
"Serratia marcescens","AR_0123","GCA_003071605.1","Complete",5.14094,59.9,"chromosome:NZ_CP028948.1/CP028948.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/071/605/GCA_003071605.1_ASM307160v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/071/605/GCF_003071605.1_ASM307160v1"
"Mannheimia haemolytica","1563","GCA_007979905.1","Complete",2.68372,41,"chromosome:NZ_CP017527.1/CP017527.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/979/905/GCA_007979905.1_ASM797990v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/979/905/GCF_007979905.1_ASM797990v1"
"Pasteurella multocida","USDA-ARS-USMARC-60214","GCA_002859505.1","Complete",2.33369,40.2,"chromosome:NZ_CP015571.1/CP015571.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/859/505/GCA_002859505.1_ASM285950v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/859/505/GCF_002859505.1_ASM285950v1"
"Stenotrophomonas maltophilia","ISMMS2","GCA_001274655.1","Complete",4.50972,66.4,"chromosome:NZ_CP011305.1/CP011305.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/274/655/GCA_001274655.1_ASM127465v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/274/655/GCF_001274655.1_ASM127465v1"
